Area,Year,Variable,Variable Value
United States of America,1958-01-01,Flag Description,Figure from international organizations
India,1958-01-01,Flag Description,Figure from international organizations
Portugal,1959-01-01,Flag Description,Figure from international organizations
Nigeria,1959-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Flag Description,Figure from international organizations
United States of America,1959-01-01,Flag Description,Figure from international organizations
India,1959-01-01,Flag Description,Figure from international organizations
Portugal,1960-01-01,Flag Description,Figure from international organizations
Nigeria,1960-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Flag Description,Figure from international organizations
United States of America,1960-01-01,Flag Description,Figure from international organizations
India,1960-01-01,Flag Description,Figure from international organizations
Portugal,1961-01-01,Flag Description,Figure from international organizations
Nigeria,1961-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Flag Description,Figure from international organizations
United States of America,1961-01-01,Flag Description,Figure from international organizations
India,1961-01-01,Flag Description,Figure from international organizations
Portugal,1962-01-01,Flag Description,Figure from international organizations
Nigeria,1962-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Flag Description,Figure from international organizations
United States of America,1962-01-01,Flag Description,Figure from international organizations
India,1962-01-01,Flag Description,Figure from international organizations
Portugal,1963-01-01,Flag Description,Figure from international organizations
Nigeria,1963-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Flag Description,Figure from international organizations
United States of America,1963-01-01,Flag Description,Figure from international organizations
India,1963-01-01,Flag Description,Figure from international organizations
Portugal,1964-01-01,Flag Description,Figure from international organizations
Nigeria,1964-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Flag Description,Figure from international organizations
United States of America,1964-01-01,Flag Description,Figure from international organizations
India,1964-01-01,Flag Description,Figure from international organizations
Portugal,1965-01-01,Flag Description,Figure from international organizations
Nigeria,1965-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Flag Description,Figure from international organizations
United States of America,1965-01-01,Flag Description,Figure from international organizations
India,1965-01-01,Flag Description,Figure from international organizations
Portugal,1966-01-01,Flag Description,Figure from international organizations
Nigeria,1966-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1966-01-01,Flag Description,Figure from international organizations
United States of America,1966-01-01,Flag Description,Figure from international organizations
India,1966-01-01,Flag Description,Figure from international organizations
Portugal,1967-01-01,Flag Description,Figure from international organizations
Nigeria,1967-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1967-01-01,Flag Description,Figure from international organizations
United States of America,1967-01-01,Flag Description,Figure from international organizations
India,1967-01-01,Flag Description,Figure from international organizations
Portugal,1968-01-01,Flag Description,Figure from international organizations
Nigeria,1968-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1968-01-01,Flag Description,Figure from international organizations
United States of America,1968-01-01,Flag Description,Figure from international organizations
India,1968-01-01,Flag Description,Figure from international organizations
Portugal,1969-01-01,Flag Description,Figure from international organizations
Nigeria,1969-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1969-01-01,Flag Description,Figure from international organizations
United States of America,1969-01-01,Flag Description,Figure from international organizations
India,1969-01-01,Flag Description,Figure from international organizations
Portugal,1970-01-01,Flag Description,Figure from international organizations
Nigeria,1970-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1970-01-01,Flag Description,Figure from international organizations
United States of America,1970-01-01,Flag Description,Figure from international organizations
India,1970-01-01,Flag Description,Figure from international organizations
Portugal,1971-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1971-01-01,Flag Description,Figure from international organizations
Nigeria,1971-01-01,Flag Description,Figure from international organizations
United States of America,1971-01-01,Flag Description,Figure from international organizations
India,1971-01-01,Flag Description,Figure from international organizations
Portugal,1972-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1972-01-01,Flag Description,Figure from international organizations
Nigeria,1972-01-01,Flag Description,Figure from international organizations
United States of America,1972-01-01,Flag Description,Figure from international organizations
India,1972-01-01,Flag Description,Figure from international organizations
Portugal,1973-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1973-01-01,Flag Description,Figure from international organizations
Nigeria,1973-01-01,Flag Description,Figure from international organizations
United States of America,1973-01-01,Flag Description,Figure from international organizations
India,1973-01-01,Flag Description,Figure from international organizations
Portugal,1974-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1974-01-01,Flag Description,Figure from international organizations
Nigeria,1974-01-01,Flag Description,Figure from international organizations
United States of America,1974-01-01,Flag Description,Figure from international organizations
India,1974-01-01,Flag Description,Figure from international organizations
Portugal,1975-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1975-01-01,Flag Description,Figure from international organizations
Nigeria,1975-01-01,Flag Description,Figure from international organizations
United States of America,1975-01-01,Flag Description,Figure from international organizations
India,1975-01-01,Flag Description,Figure from international organizations
Portugal,1976-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1976-01-01,Flag Description,Figure from international organizations
Nigeria,1976-01-01,Flag Description,Figure from international organizations
United States of America,1976-01-01,Flag Description,Figure from international organizations
India,1976-01-01,Flag Description,Figure from international organizations
Portugal,1977-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1977-01-01,Flag Description,Figure from international organizations
Nigeria,1977-01-01,Flag Description,Figure from international organizations
United States of America,1977-01-01,Flag Description,Figure from international organizations
India,1977-01-01,Flag Description,Figure from international organizations
Portugal,1978-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1978-01-01,Flag Description,Figure from international organizations
Nigeria,1978-01-01,Flag Description,Figure from international organizations
United States of America,1978-01-01,Flag Description,Figure from international organizations
India,1978-01-01,Flag Description,Figure from international organizations
Portugal,1979-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1979-01-01,Flag Description,Figure from international organizations
Nigeria,1979-01-01,Flag Description,Figure from international organizations
United States of America,1979-01-01,Flag Description,Figure from international organizations
India,1979-01-01,Flag Description,Figure from international organizations
Portugal,1980-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1980-01-01,Flag Description,Figure from international organizations
Nigeria,1980-01-01,Flag Description,Figure from international organizations
United States of America,1980-01-01,Flag Description,Figure from international organizations
India,1980-01-01,Flag Description,Figure from international organizations
Portugal,1981-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1981-01-01,Flag Description,Figure from international organizations
Nigeria,1981-01-01,Flag Description,Figure from international organizations
United States of America,1981-01-01,Flag Description,Figure from international organizations
India,1981-01-01,Flag Description,Figure from international organizations
Portugal,1982-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1982-01-01,Flag Description,Figure from international organizations
Nigeria,1982-01-01,Flag Description,Figure from international organizations
United States of America,1982-01-01,Flag Description,Figure from international organizations
India,1982-01-01,Flag Description,Figure from international organizations
Portugal,1983-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1983-01-01,Flag Description,Figure from international organizations
Nigeria,1983-01-01,Flag Description,Figure from international organizations
United States of America,1983-01-01,Flag Description,Figure from international organizations
India,1983-01-01,Flag Description,Figure from international organizations
Portugal,1984-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1984-01-01,Flag Description,Figure from international organizations
Nigeria,1984-01-01,Flag Description,Figure from international organizations
United States of America,1984-01-01,Flag Description,Figure from international organizations
India,1984-01-01,Flag Description,Figure from international organizations
Portugal,1985-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1985-01-01,Flag Description,Figure from international organizations
Nigeria,1985-01-01,Flag Description,Figure from international organizations
United States of America,1985-01-01,Flag Description,Figure from international organizations
India,1985-01-01,Flag Description,Figure from international organizations
Portugal,1986-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1986-01-01,Flag Description,Figure from international organizations
Nigeria,1986-01-01,Flag Description,Figure from international organizations
United States of America,1986-01-01,Flag Description,Figure from international organizations
India,1986-01-01,Flag Description,Figure from international organizations
Portugal,1987-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1987-01-01,Flag Description,Figure from international organizations
Nigeria,1987-01-01,Flag Description,Figure from international organizations
United States of America,1987-01-01,Flag Description,Figure from international organizations
India,1987-01-01,Flag Description,Figure from international organizations
Portugal,1988-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1988-01-01,Flag Description,Figure from international organizations
Nigeria,1988-01-01,Flag Description,Figure from international organizations
United States of America,1988-01-01,Flag Description,Figure from international organizations
India,1988-01-01,Flag Description,Figure from international organizations
Portugal,1989-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1989-01-01,Flag Description,Figure from international organizations
Nigeria,1989-01-01,Flag Description,Figure from international organizations
United States of America,1989-01-01,Flag Description,Figure from international organizations
India,1989-01-01,Flag Description,Figure from international organizations
Portugal,1990-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1990-01-01,Flag Description,Figure from international organizations
Nigeria,1990-01-01,Flag Description,Figure from international organizations
United States of America,1990-01-01,Flag Description,Figure from international organizations
India,1990-01-01,Flag Description,Figure from international organizations
Portugal,1991-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1991-01-01,Flag Description,Figure from international organizations
Nigeria,1991-01-01,Flag Description,Figure from international organizations
United States of America,1991-01-01,Flag Description,Figure from international organizations
India,1991-01-01,Flag Description,Figure from international organizations
Portugal,1992-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1992-01-01,Flag Description,Figure from international organizations
Nigeria,1992-01-01,Flag Description,Figure from international organizations
United States of America,1992-01-01,Flag Description,Figure from international organizations
India,1992-01-01,Flag Description,Figure from international organizations
Portugal,1993-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1993-01-01,Flag Description,Figure from international organizations
Nigeria,1993-01-01,Flag Description,Figure from international organizations
United States of America,1993-01-01,Flag Description,Figure from international organizations
India,1993-01-01,Flag Description,Figure from international organizations
Portugal,1994-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Flag Description,Figure from international organizations
Nigeria,1994-01-01,Flag Description,Figure from international organizations
United States of America,1994-01-01,Flag Description,Figure from international organizations
India,1994-01-01,Flag Description,Figure from international organizations
Portugal,1995-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Flag Description,Figure from international organizations
Nigeria,1995-01-01,Flag Description,Figure from international organizations
United States of America,1995-01-01,Flag Description,Figure from international organizations
India,1995-01-01,Flag Description,Figure from international organizations
Portugal,1996-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Flag Description,Figure from international organizations
Nigeria,1996-01-01,Flag Description,Figure from international organizations
United States of America,1996-01-01,Flag Description,Figure from international organizations
India,1996-01-01,Flag Description,Figure from international organizations
Portugal,1997-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Flag Description,Figure from international organizations
Nigeria,1997-01-01,Flag Description,Figure from international organizations
United States of America,1997-01-01,Flag Description,Figure from international organizations
India,1997-01-01,Flag Description,Figure from international organizations
Portugal,1998-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1998-01-01,Flag Description,Figure from international organizations
Nigeria,1998-01-01,Flag Description,Figure from international organizations
United States of America,1998-01-01,Flag Description,Figure from international organizations
India,1998-01-01,Flag Description,Figure from international organizations
Portugal,1999-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,1999-01-01,Flag Description,Figure from international organizations
Nigeria,1999-01-01,Flag Description,Figure from international organizations
United States of America,1999-01-01,Flag Description,Figure from international organizations
India,1999-01-01,Flag Description,Figure from international organizations
Portugal,2000-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2000-01-01,Flag Description,Figure from international organizations
Nigeria,2000-01-01,Flag Description,Figure from international organizations
United States of America,2000-01-01,Flag Description,Figure from international organizations
India,2000-01-01,Flag Description,Figure from international organizations
Portugal,2001-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2001-01-01,Flag Description,Figure from international organizations
Nigeria,2001-01-01,Flag Description,Figure from international organizations
United States of America,2001-01-01,Flag Description,Figure from international organizations
India,2001-01-01,Flag Description,Figure from international organizations
Portugal,2002-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2002-01-01,Flag Description,Figure from international organizations
Nigeria,2002-01-01,Flag Description,Figure from international organizations
United States of America,2002-01-01,Flag Description,Figure from international organizations
India,2002-01-01,Flag Description,Figure from international organizations
Portugal,2003-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2003-01-01,Flag Description,Figure from international organizations
Nigeria,2003-01-01,Flag Description,Figure from international organizations
United States of America,2003-01-01,Flag Description,Figure from international organizations
India,2003-01-01,Flag Description,Figure from international organizations
Portugal,2004-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2004-01-01,Flag Description,Figure from international organizations
Nigeria,2004-01-01,Flag Description,Figure from international organizations
United States of America,2004-01-01,Flag Description,Figure from international organizations
India,2004-01-01,Flag Description,Figure from international organizations
Portugal,2005-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2005-01-01,Flag Description,Figure from international organizations
Nigeria,2005-01-01,Flag Description,Figure from international organizations
United States of America,2005-01-01,Flag Description,Figure from international organizations
India,2005-01-01,Flag Description,Figure from international organizations
Portugal,2006-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2006-01-01,Flag Description,Figure from international organizations
Nigeria,2006-01-01,Flag Description,Figure from international organizations
United States of America,2006-01-01,Flag Description,Figure from international organizations
India,2006-01-01,Flag Description,Figure from international organizations
Portugal,2007-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2007-01-01,Flag Description,Figure from international organizations
Nigeria,2007-01-01,Flag Description,Figure from international organizations
United States of America,2007-01-01,Flag Description,Figure from international organizations
India,2007-01-01,Flag Description,Figure from international organizations
Portugal,2008-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2008-01-01,Flag Description,Figure from international organizations
Nigeria,2008-01-01,Flag Description,Figure from international organizations
United States of America,2008-01-01,Flag Description,Figure from international organizations
India,2008-01-01,Flag Description,Figure from international organizations
Portugal,2009-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2009-01-01,Flag Description,Figure from international organizations
Nigeria,2009-01-01,Flag Description,Figure from international organizations
United States of America,2009-01-01,Flag Description,Figure from international organizations
India,2009-01-01,Flag Description,Figure from international organizations
Portugal,2010-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2010-01-01,Flag Description,Figure from international organizations
Nigeria,2010-01-01,Flag Description,Figure from international organizations
United States of America,2010-01-01,Flag Description,Figure from international organizations
India,2010-01-01,Flag Description,Figure from international organizations
Portugal,2011-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2011-01-01,Flag Description,Figure from international organizations
Nigeria,2011-01-01,Flag Description,Figure from international organizations
United States of America,2011-01-01,Flag Description,Figure from international organizations
India,2011-01-01,Flag Description,Figure from international organizations
Portugal,2012-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2012-01-01,Flag Description,Figure from international organizations
Nigeria,2012-01-01,Flag Description,Figure from international organizations
United States of America,2012-01-01,Flag Description,Figure from international organizations
India,2012-01-01,Flag Description,Figure from international organizations
Portugal,2013-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2013-01-01,Flag Description,Figure from international organizations
Nigeria,2013-01-01,Flag Description,Figure from international organizations
United States of America,2013-01-01,Flag Description,Figure from international organizations
India,2013-01-01,Flag Description,Figure from international organizations
Portugal,2014-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2014-01-01,Flag Description,Figure from international organizations
Nigeria,2014-01-01,Flag Description,Figure from international organizations
United States of America,2014-01-01,Flag Description,Figure from international organizations
India,2014-01-01,Flag Description,Figure from international organizations
Portugal,2015-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2015-01-01,Flag Description,Figure from international organizations
Nigeria,2015-01-01,Flag Description,Figure from international organizations
United States of America,2015-01-01,Flag Description,Figure from international organizations
India,2015-01-01,Flag Description,Figure from international organizations
Portugal,2016-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2016-01-01,Flag Description,Figure from international organizations
Nigeria,2016-01-01,Flag Description,Figure from international organizations
United States of America,2016-01-01,Flag Description,Figure from international organizations
India,2016-01-01,Flag Description,Figure from international organizations
Portugal,2017-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2017-01-01,Flag Description,Figure from international organizations
Nigeria,2017-01-01,Flag Description,Figure from international organizations
United States of America,2017-01-01,Flag Description,Figure from international organizations
India,2017-01-01,Flag Description,Figure from international organizations
Portugal,2018-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2018-01-01,Flag Description,Figure from international organizations
Nigeria,2018-01-01,Flag Description,Figure from international organizations
United States of America,2018-01-01,Flag Description,Figure from international organizations
India,2018-01-01,Flag Description,Figure from international organizations
Portugal,2019-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2019-01-01,Flag Description,Figure from international organizations
Nigeria,2019-01-01,Flag Description,Figure from international organizations
United States of America,2019-01-01,Flag Description,Figure from international organizations
India,2019-01-01,Flag Description,Figure from international organizations
Portugal,2020-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2020-01-01,Flag Description,Figure from international organizations
Nigeria,2020-01-01,Flag Description,Figure from international organizations
United States of America,2020-01-01,Flag Description,Figure from international organizations
India,2020-01-01,Flag Description,Figure from international organizations
Portugal,2021-01-01,Flag Description,Figure from international organizations
United Kingdom of Great Britain and Northern Ireland,2021-01-01,Flag Description,Figure from international organizations
Nigeria,2021-01-01,Flag Description,Figure from international organizations
United States of America,2021-01-01,Flag Description,Figure from international organizations
India,2021-01-01,Flag Description,Figure from international organizations
Portugal,1950-01-01,Note,
Nigeria,1950-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1950-01-01,Note,
United States of America,1950-01-01,Note,
India,1950-01-01,Note,
Portugal,1951-01-01,Note,
Nigeria,1951-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1951-01-01,Note,
United States of America,1951-01-01,Note,
India,1951-01-01,Note,
Portugal,1952-01-01,Note,
Nigeria,1952-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1952-01-01,Note,
United States of America,1952-01-01,Note,
India,1952-01-01,Note,
Portugal,1953-01-01,Note,
Nigeria,1953-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1953-01-01,Note,
United States of America,1953-01-01,Note,
India,1953-01-01,Note,
Portugal,1954-01-01,Note,
Nigeria,1954-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1954-01-01,Note,
United States of America,1954-01-01,Note,
India,1954-01-01,Note,
Portugal,1955-01-01,Note,
Nigeria,1955-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1955-01-01,Note,
United States of America,1955-01-01,Note,
India,1955-01-01,Note,
Portugal,1956-01-01,Note,
Nigeria,1956-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1956-01-01,Note,
United States of America,1956-01-01,Note,
India,1956-01-01,Note,
Portugal,1957-01-01,Note,
Nigeria,1957-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1957-01-01,Note,
United States of America,1957-01-01,Note,
India,1957-01-01,Note,
Portugal,1958-01-01,Note,
Nigeria,1958-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1958-01-01,Note,
United States of America,1958-01-01,Note,
India,1958-01-01,Note,
Portugal,1959-01-01,Note,
Nigeria,1959-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1959-01-01,Note,
United States of America,1959-01-01,Note,
India,1959-01-01,Note,
Portugal,1960-01-01,Note,
Nigeria,1960-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1960-01-01,Note,
United States of America,1960-01-01,Note,
India,1960-01-01,Note,
Portugal,1961-01-01,Note,
Nigeria,1961-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1961-01-01,Note,
United States of America,1961-01-01,Note,
India,1961-01-01,Note,
Portugal,1962-01-01,Note,
Nigeria,1962-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1962-01-01,Note,
United States of America,1962-01-01,Note,
India,1962-01-01,Note,
Portugal,1963-01-01,Note,
Nigeria,1963-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1963-01-01,Note,
United States of America,1963-01-01,Note,
India,1963-01-01,Note,
Portugal,1964-01-01,Note,
Nigeria,1964-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1964-01-01,Note,
United States of America,1964-01-01,Note,
India,1964-01-01,Note,
Portugal,1965-01-01,Note,
Nigeria,1965-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1965-01-01,Note,
United States of America,1965-01-01,Note,
India,1965-01-01,Note,
Portugal,1966-01-01,Note,
Nigeria,1966-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1966-01-01,Note,
United States of America,1966-01-01,Note,
India,1966-01-01,Note,
Portugal,1967-01-01,Note,
Nigeria,1967-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1967-01-01,Note,
United States of America,1967-01-01,Note,
India,1967-01-01,Note,
Portugal,1968-01-01,Note,
Nigeria,1968-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1968-01-01,Note,
United States of America,1968-01-01,Note,
India,1968-01-01,Note,
Portugal,1969-01-01,Note,
Nigeria,1969-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1969-01-01,Note,
United States of America,1969-01-01,Note,
India,1969-01-01,Note,
Portugal,1970-01-01,Note,
Nigeria,1970-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1970-01-01,Note,
United States of America,1970-01-01,Note,
India,1970-01-01,Note,
Portugal,1971-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1971-01-01,Note,
Nigeria,1971-01-01,Note,
United States of America,1971-01-01,Note,
India,1971-01-01,Note,
Portugal,1972-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1972-01-01,Note,
Nigeria,1972-01-01,Note,
United States of America,1972-01-01,Note,
India,1972-01-01,Note,
Portugal,1973-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1973-01-01,Note,
Nigeria,1973-01-01,Note,
United States of America,1973-01-01,Note,
India,1973-01-01,Note,
Portugal,1974-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1974-01-01,Note,
Nigeria,1974-01-01,Note,
United States of America,1974-01-01,Note,
India,1974-01-01,Note,
Portugal,1975-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1975-01-01,Note,
Nigeria,1975-01-01,Note,
United States of America,1975-01-01,Note,
India,1975-01-01,Note,
Portugal,1976-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1976-01-01,Note,
Nigeria,1976-01-01,Note,
United States of America,1976-01-01,Note,
India,1976-01-01,Note,
Portugal,1977-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1977-01-01,Note,
Nigeria,1977-01-01,Note,
United States of America,1977-01-01,Note,
India,1977-01-01,Note,
Portugal,1978-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1978-01-01,Note,
Nigeria,1978-01-01,Note,
United States of America,1978-01-01,Note,
India,1978-01-01,Note,
Portugal,1979-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1979-01-01,Note,
Nigeria,1979-01-01,Note,
United States of America,1979-01-01,Note,
India,1979-01-01,Note,
Portugal,1980-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1980-01-01,Note,
Nigeria,1980-01-01,Note,
United States of America,1980-01-01,Note,
India,1980-01-01,Note,
Portugal,1981-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1981-01-01,Note,
Nigeria,1981-01-01,Note,
United States of America,1981-01-01,Note,
India,1981-01-01,Note,
Portugal,1982-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1982-01-01,Note,
Nigeria,1982-01-01,Note,
United States of America,1982-01-01,Note,
India,1982-01-01,Note,
Portugal,1983-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1983-01-01,Note,
Nigeria,1983-01-01,Note,
United States of America,1983-01-01,Note,
India,1983-01-01,Note,
Portugal,1984-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1984-01-01,Note,
Nigeria,1984-01-01,Note,
United States of America,1984-01-01,Note,
India,1984-01-01,Note,
Portugal,1985-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1985-01-01,Note,
Nigeria,1985-01-01,Note,
United States of America,1985-01-01,Note,
India,1985-01-01,Note,
Portugal,1986-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1986-01-01,Note,
Nigeria,1986-01-01,Note,
United States of America,1986-01-01,Note,
India,1986-01-01,Note,
Portugal,1987-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1987-01-01,Note,
Nigeria,1987-01-01,Note,
United States of America,1987-01-01,Note,
India,1987-01-01,Note,
Portugal,1988-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1988-01-01,Note,
Nigeria,1988-01-01,Note,
United States of America,1988-01-01,Note,
India,1988-01-01,Note,
Portugal,1989-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1989-01-01,Note,
Nigeria,1989-01-01,Note,
United States of America,1989-01-01,Note,
India,1989-01-01,Note,
Portugal,1990-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1990-01-01,Note,
Nigeria,1990-01-01,Note,
United States of America,1990-01-01,Note,
India,1990-01-01,Note,
Portugal,1991-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1991-01-01,Note,
Nigeria,1991-01-01,Note,
United States of America,1991-01-01,Note,
India,1991-01-01,Note,
Portugal,1992-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1992-01-01,Note,
Nigeria,1992-01-01,Note,
United States of America,1992-01-01,Note,
India,1992-01-01,Note,
Portugal,1993-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1993-01-01,Note,
Nigeria,1993-01-01,Note,
United States of America,1993-01-01,Note,
India,1993-01-01,Note,
Portugal,1994-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1994-01-01,Note,
Nigeria,1994-01-01,Note,
United States of America,1994-01-01,Note,
India,1994-01-01,Note,
Portugal,1995-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1995-01-01,Note,
Nigeria,1995-01-01,Note,
United States of America,1995-01-01,Note,
India,1995-01-01,Note,
Portugal,1996-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1996-01-01,Note,
Nigeria,1996-01-01,Note,
United States of America,1996-01-01,Note,
India,1996-01-01,Note,
Portugal,1997-01-01,Note,
United Kingdom of Great Britain and Northern Ireland,1997-01-01,Note,
Nigeria,1997-01-01,Note,
United States of America,1997-01-01,Note,
India,1997-01-01,Note,
Portugal,1998-01-01,Note,
